Query,Millis,PreMillis,PostMillis,Tuples,Iterations,Lookups,NrIndexEntries,nrUniqueLookups,NrUctNodes,NrPlans,JoinCard,NrSamples,AvgReward,MaxReward,TotalWork
09a.sql,2824,2779,0,12448,26616,0,21064,12994,39,34,121,54,0.04262094951097468,0.3966854543090964,1.0
09b.sql,1727,1598,0,10216,21556,0,11637,10347,38,34,40,44,0.050014993041696564,0.4371416930539419,1.0
09c.sql,1477,1366,0,126074,266994,0,129880,120711,102,64,8144,534,0.020813052491155795,0.34063074325335013,1.0
09d.sql,4877,1471,4,4293551,9115782,0,195486015,3688036,294,222,483082,18232,0.02675955374981065,0.35963093345564023,1.0
10a.sql,2274,2258,0,14552,38000,0,496947,14823,38,29,104,76,0.016835072318264106,0.2513227513227513,1.0
10b.sql,2539,2533,0,598,1187,0,1610,564,5,3,0,3,6.638500388879388E-5,1.99155005609788E-4,1.0
10c.sql,4626,3598,0,3169113,6342678,0,17329,3169428,438,123,10,12686,3.840433557399726E-4,0.3676470588235294,1.0
11a.sql,1886,1840,0,10463,23405,0,11260008,8549,50,45,310,47,0.024168905912035996,0.1290070743443584,1.0
11b.sql,1195,1184,1,1513,2994,0,3366,1688,8,6,14,6,0.005262684903502707,0.030715674437646945,1.0
11c.sql,3846,3422,0,422706,863305,0,30120796,452315,151,94,6946,1727,0.00975918328228361,0.33427076759474555,1.0
11d.sql,4192,3838,1,131962,333069,0,987482382,153291,90,64,14899,667,0.025926059815281097,0.167,1.0
